ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС;
99.99.99.99.99.99;DRF000000000421867;Дрофа;9;"УМК Афанасьевой-Михеевой. ""Rainbow English"" (5-9)";Афанасьева О. В., Михеева И. В., Баранова К. М.;Английский язык. Rainbow English. 9 класс. Часть 2;75;0,18;Английский язык. Rainbow English. 9 класс. Часть 2 (Лицензия 1 год)
1.2.2.1.6.1;DRF000000000421807;Дрофа;6;УМК Андреева-Волобуева. История (6-10);Андреев И. Л., Федоров И. Н.;История России с древнейших времен до XVI века. 6 класс;75;0,18;История России с древнейших времен до XVI века. 6 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000425342;Дрофа;6;;Волкова Е. В., Тырин С. В.;Хрестоматия. История России с древнейших времён до XVI века. 6 класс;75;0,18;Хрестоматия. История России с древнейших времён до XVI века. 6 класс (Лицензия 1 год)
1.2.2.1.6.2;DRF000000000421829;Дрофа;7;УМК Андреева-Волобуева. История (6-10);Андреев И. Л., Фёдоров И., Амосова И. В.;История России. XVI - конец XVII века. 7 класс;75;0,18;История России. XVI - конец XVII века. 7 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000425347;Дрофа;7;;Грико Т. И., Тырин С. В.;Хрестоматия. История России. XVI — конец XVII века. 7 класс;75;0,18;Хрестоматия. История России. XVI — конец XVII века. 7 класс (Лицензия 1 год)
1.2.2.1.6.3;DRF000000000421830;Дрофа;8;УМК Андреева-Волобуева. История (6-10);Андреев И. Л., Амосова И. В., Артасов И. А., Ляшенко Л. М.;История России. Конец XVII - XVIII век. 8 класс;75;0,18;История России. Конец XVII - XVIII век. 8 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000425348;Дрофа;8;;Грико Т. И., Тырин С. В.;Хрестоматия. История России. Конец XVII — XVIII век. 8 класс;75;0,18;Хрестоматия. История России. Конец XVII — XVIII век. 8 класс (Лицензия 1 год)
1.2.2.1.6.4;DRF000000000421832;Дрофа;9;УМК Андреева-Волобуева. История (6-10);Ляшенко Л. М., Волобуев О. В., Симонова Е. В.;История России. XIX - начало XX века. 9 класс;75;0,18;История России. XIX - начало XX века. 9 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000425349;Дрофа;9;;Ляшенко С. М., Тырин С. В.;Хрестоматия. История России. XIX — начало XX века. 9 класс;75;0,18;Хрестоматия. История России. XIX — начало XX века. 9 класс (Лицензия 1 год)
1.2.2.1.6.5;DRF000000000421833;Дрофа;10;УМК Андреева-Волобуева. История (6-10);Волобуев О. В., Карпачёв С. П., Романов П. Н.;История России. Начало XX - начало XXI века. 10 класс;75;0,18;История России. Начало XX - начало XXI века. 10 класс (Лицензия 1 год)
99.99.99.99.99.99;DRF000000000425350;Дрофа;10;;Федоров И. Н., Тырин С. В.;Хрестоматия. История России. Начало XX — начало XXI века. 10 класс;75;0,18;Хрестоматия. История России. Начало XX — начало XXI века. 10 класс (Лицензия 1 год)
1.2.2.2.2.1;DRF000000000421493;Дрофа;5;;Колпаков С. В., Селунская Н. А.;Всеобщая история. История Древнего мира. 5 класс;75;0,18;Всеобщая история. История Древнего мира. 5 класс (Лицензия 1 год)
1.2.2.2.2.2;DRF000000000421569;Дрофа;6;;Пономарев М. В., Абрамов А. В., Тырин С. В.;Всеобщая история. История средних веков. 6 класс;75;0,18;Всеобщая история. История средних веков. 6 класс (Лицензия 1 год)
1.2.2.2.2.3;DRF000000000421572;Дрофа;7;;Ведюшкин В. А., Бурин С. Н.;Всеобщая история. История Нового времени. 7 класс;75;0,18;Всеобщая история. История Нового времени. 7 класс (Лицензия 1 год)
1.2.2.2.2.4;DRF000000000421655;Дрофа;8;;Бурин С. Н., Митрофанов А. А., Пономарев М. В.;Всеобщая история. История Нового времени. 8 класс;75;0,18;Всеобщая история. История Нового времени. 8 класс (Лицензия 1 год)
1.2.2.2.2.5;DRF000000000421574;Дрофа;9;;Шубин А. В.;Всеобщая история. Новейшая история. 9 класс;75;0,18;Всеобщая история. Новейшая история. 9 класс (Лицензия 1 год)
1.2.2.3.3.1;DRF000000000421512;Дрофа;5;;Никитин А. Ф., Никитина Т. И.;Обществознание. 5 класс;75;0,18;Обществознание. 5 класс (Лицензия 1 год)
1.2.2.3.3.2;DRF000000000421564;Дрофа;6;;Никитин А. Ф., Никитина Т. И.;Обществознание. 6 класс;75;0,18;Обществознание. 6 класс (Лицензия 1 год)
1.2.2.3.3.3;DRF000000000421565;Дрофа;7;;Никитин А. Ф., Никитина Т. И.;Обществознание. 7 класс;75;0,18;Обществознание. 7 класс (Лицензия 1 год)
1.2.2.3.3.4;DRF000000000421566;Дрофа;8;;Никитин А. Ф., Никитина Т. И.;Обществознание. 8 класс;75;0,18;Обществознание. 8 класс (Лицензия 1 год)
