ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.2.4.3.2.2;DRF000000000421634;Астрель;9;УМК Лунина. Химия (8-9);Оржековский П. А., Мещерякова Л. М., Шалашова М. М.;Химия. 9 класс;75,00;0,18
1.2.7.2.4.1;ASE000000000722945;Астрель;5;;Воробьёв Ю. Л.;Основы безопасности жизнедеятельности. 5 класс;75,00;0,18
1.2.7.2.4.2;ASE000000000722944;Астрель;6;;Воробьёв Ю. Л.;Основы безопасности жизнедеятельности. 6 класс;75,00;0,18
1.2.7.2.4.3;ASE000000000722943;Астрель;7;;Воробьёв Ю. Л.;Основы безопасности жизнедеятельности. 7 класс;75,00;0,18
1.2.7.2.4.4;ASE000000000722942;Астрель;8;;Воробьёв Ю. Л.;Основы безопасности жизнедеятельности. 8 класс;75,00;0,18
1.2.7.2.4.5;ASE000000000722941;Астрель;9;;Воробьёв Ю. Л.;Основы безопасности жизнедеятельности. 9 класс;75,00;0,18
1.3.6.3.6.1;ASE000000000724275;Астрель;10;УМК Воробьева. ОБЖ (10-11);Воробьёв Ю. Л.;Основы безопасности жизнедеятельности. 10 класс;75,00;0,18
1.3.6.3.6.2;ASE000000000724276;Астрель;11;УМК Воробьева. ОБЖ (10-11);Воробьёв Ю. Л.;Основы безопасности жизнедеятельности. 11 класс;75,00;0,18
2.2.8.1.1.1;ASE000000000722908;Астрель;9;УМК Ботвинникова. Черчение (9);Ботвинников А. Д., Виноградов В. Н., Вышнепольский И. С.;Черчение. 9 класс;75,00;0,18
99.99.99.99.99.99;ASE000000000000000;Астрель;3;;Узорова О. В., Нефёдова Е. А.;Технология. 3 класс;75,00;0,18
