;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
№ ФП массового учебника;Система;Код 1С;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система
1.1.1.3.5.1;Школа России;24-3414-01;2;Верещагина И. Н., Бондаренко К. А., Притыкина Т. А.;Английский язык. 2 класс.  В 4-х ч. Ч.2 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1210,00;;Школа России
1.1.1.3.5.1;Школа России;24-3415-01;2;Верещагина И. Н., Бондаренко К. А., Притыкина Т. А.;Английский язык. 2 класс.  В 4-х ч. Ч.3 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1210,00;;Школа России
1.1.1.3.5.1;Школа России;24-3416-01;2;Верещагина И. Н., Бондаренко К. А., Притыкина Т. А.;Английский язык. 2 класс.  В 4-х ч. Ч.4 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1100,00;;Школа России
1.1.1.3.5.2;Школа России;24-3417-01;3;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс.  В 5-и ч. Ч.1 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1100,00;;Школа России
1.1.1.3.5.2;Школа России;24-3418-01;3;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс.  В 5-и ч. Ч.2 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1100,00;;Школа России
1.1.1.3.5.2;Школа России;24-3419-01;3;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс.  В 5-и ч. Ч.3 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1100,00;;Школа России
1.1.1.3.5.2;Школа России;24-3420-01;3;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс.  В 5-и ч. Ч.4 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1100,00;;Школа России
1.1.1.3.5.2;Школа России;24-3421-01;3;Верещагина И. Н., Притыкина Т. А.;Английский язык. 3 класс.  В 5-и ч. Ч.5 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;990,00;;Школа России
1.1.1.3.5.3;Школа России;24-3422-01;4;Верещагина И. Н., Афанасьева О. В.;Английский язык. 4 класс.  В 5-и ч. Ч.1 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1210,00;;Школа России
1.1.1.3.5.3;Школа России;24-3405-02;4;Верещагина И. Н., Афанасьева О. В.;Английский язык. 4 класс.  В 5-и ч. Ч.2 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1210,00;;Школа России
1.1.1.3.5.3;Школа России;24-3406-01;4;Верещагина И. Н., Афанасьева О. В.;Английский язык. 4 класс.  В 5-и ч. Ч.3 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1210,00;;Школа России
1.1.1.3.5.3;Школа России;24-3407-01;4;Верещагина И. Н., Афанасьева О. В.;Английский язык. 4 класс.  В 5-и ч. Ч.4 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1100,00;;Школа России
1.1.1.3.5.3;Школа России;24-3408-01;4;Верещагина И. Н., Афанасьева О. В.;Английский язык. 4 класс.  В 5-и ч. Ч.5 (для слабовидящих обучающихся);Верещагина И.Н. (2-4);;2016;1100,00;;Школа России
1.1.1.3.7.1;Школа России;24-3457-01;2;Кузовлев В. П., Перегудова Э. Ш., Пастухова С. А. и др.;Английский язык. 2 класс.  В 5-и ч. Ч.1 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.1;Школа России;24-3458-01;2;Кузовлев В. П., Перегудова Э. Ш., Пастухова С. А. и др.;Английский язык. 2 класс.  В 5-и ч. Ч.2 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.1;Школа России;24-3459-01;2;Кузовлев В. П., Перегудова Э. Ш., Пастухова С. А. и др.;Английский язык. 2 класс.  В 5-и ч. Ч.3 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.1;Школа России;24-3461-01;2;Кузовлев В. П., Перегудова Э. Ш., Пастухова С. А. и др.;Английский язык. 2 класс.  В 5-и ч. Ч.4 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.1;Школа России;24-3464-01;2;Кузовлев В. П., Перегудова Э. Ш., Пастухова С. А. и др.;Английский язык. 2 класс.  В 5-и ч. Ч.5 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.2;Школа России;24-3465-01;3;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 3 класс.  В 4-х ч. Ч.1 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.2;Школа России;24-3466-01;3;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 3 класс.  В 4-х ч. Ч.2 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.2;Школа России;24-3468-01;3;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 3 класс.  В 4-х ч. Ч.3 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;825,00;;Школа России
1.1.1.3.7.2;Школа России;24-3469-01;3;Кузовлев В. П., Лапа Н. М., Костина И. П. и др.;Английский язык. 3 класс.  В 4-х ч. Ч.4 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;825,00;;Школа России
1.1.1.3.7.3;Школа России;24-3423-01;4;Кузовлев В. П., Перегудова Э. Ш., Стрельникова О. В. и др.;Английский язык. 4 класс.  В 5-и ч. Ч.1 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.3;Школа России;24-3424-01;4;Кузовлев В. П., Перегудова Э. Ш., Стрельникова О. В. и др.;Английский язык. 4 класс.  В 5-и ч. Ч.2 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.3;Школа России;24-3425-01;4;Кузовлев В. П., Перегудова Э. Ш., Стрельникова О. В. и др.;Английский язык. 4 класс.  В 5-и ч. Ч.3 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.3;Школа России;24-3426-01;4;Кузовлев В. П., Перегудова Э. Ш., Стрельникова О. В. и др.;Английский язык. 4 класс.  В 5-и ч. Ч.4 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;880,00;;Школа России
1.1.1.3.7.3;Школа России;24-3429-01;4;Кузовлев В. П., Перегудова Э. Ш., Стрельникова О. В. и др.;Английский язык. 4 класс.  В 5-и ч. Ч.5 (для слабовидящих обучающихся);Кузовлев В.П. (2-4);;2016;770,00;;Школа России
1.1.1.3.9.1;Перспектива/ Школа России;25-0599-01;2;Бим И. Л., Рыжова Л. И.;Немецкий язык. 2 класс. В 4-х ч. Ч.1 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1045,00;;Перспектива/ Школа России
1.1.1.3.9.1;Перспектива/ Школа России;25-0600-01;2;Бим И. Л., Рыжова Л. И.;Немецкий язык. 2 класс. В 4-х ч. Ч.2 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1045,00;;Перспектива/ Школа России
1.1.1.3.9.1;Перспектива/ Школа России;25-0601-01;2;Бим И. Л., Рыжова Л. И.;Немецкий язык. 2 класс. В 4-х ч. Ч.3 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1155,00;;Перспектива/ Школа России
1.1.1.3.9.1;Перспектива/ Школа России;25-0602-01;2;Бим И. Л., Рыжова Л. И.;Немецкий язык. 2 класс. В 4-х ч. Ч.4 (для слабовидящих обучающихся);Бим И.Л. (2-4);;2016;1155,00;;Перспектива/ Школа России
