ФПУ;Код 1С;Издательство;Класс;УМК;Авторы;Наименование;Цена;НДС
1.1.5.2.7.3;VEN000000000428162;Вентана-Граф;3;УМК Школяр. Музыка (1-4);Усачёва В. О., Школяр Л. В.;Музыка. 3 класс;75,00;0,18
1.1.5.2.7.4;VEN000000000428163;Вентана-Граф;4;УМК Школяр. Музыка (1-4);Усачёва В. О., Школяр Л. В.;Музыка. 4 класс;75,00;0,18
1.1.5.2.7.4;VEN000000000428164;Вентана-Граф;2;УМК Хохловой. Технология (1-4);Симоненко В. Д., Хохлова М. В., Самородский П. С.;Технология. 2 класс;75,00;0,18
1.1.6.1.11.3;VEN000000000428165;Вентана-Граф;3;УМК Хохловой. Технология (1-4);Симоненко В. Д., Самородский П. С., Матяш Н. В.;Технология. 3 класс;75,00;0,18
1.1.6.1.11.3;VEN000000000428166;Вентана-Граф;4;УМК Хохловой. Технология (1-4);Симоненко В. Д., Самородский П. С., Матяш Н. В.;Технология. 4 класс;75,00;0,18
1.1.6.1.3.1;VEN000000000428155;Вентана-Граф;1;УМК Лутцевой. Технология (1-4);Лутцева Е. А.;Технология. 1 класс;75,00;0,18
1.1.6.1.3.2;VEN000000000428156;Вентана-Граф;2;УМК Лутцевой. Технология (1-4);Лутцева Е. А.;Технология. 2 класс;75,00;0,18
1.1.6.1.3.3;VEN000000000428157;Вентана-Граф;3;УМК Лутцевой. Технология (1-4);Лутцева Е. А.;Технология. 3 класс;75,00;0,18
1.1.6.1.3.4;VEN000000000428158;Вентана-Граф;4;УМК Лутцевой. Технология (1-4);Лутцева Е. А.;Технология. 4 класс;75,00;0,18
1.1.7.1.5.1;VEN000000000428159;Вентана-Граф;1-2;;Петрова Т. В., Копылов Ю. А., Полянская Н. В., Петров С. С.;Физическая культура. 1-2 классы;75,00;0,18
1.1.7.1.5.2;VEN000000000428160;Вентана-Граф;3-4;;Петрова Т. В., Копылов Ю. А., Полянская Н. В., Петров С. С.;Физическая культура. 3-4 классы;75,00;0,18
1.2.1.1.7.1;VEN000000000428833;Вентана-Граф;5;УМК Шмелева. Русский язык (5-9);Шмелёв А. Д., Флоренская Э. А., Габович Ф. Е., Савчук Л. О., Шмелёва Е. Я.;Русский язык. 5 класс. Часть 1;75,00;0,18
1.2.1.1.7.1;VEN000000000428837;Вентана-Граф;5;УМК Шмелева. Русский язык (5-9);Шмелёв А. Д., Флоренская Э. А., Габович Ф. Е., Савчук Л. О., Шмелёва Е. Я.;Русский язык. 5 класс. Часть 2;75,00;0,18
1.2.1.1.7.2;VEN000000000428835;Вентана-Граф;6;УМК Шмелева. Русский язык (5-9);Шмелёв А. Д., Флоренская Э. А., Савчук Л. О., Шмелёва Е. Я.;Русский язык. 6 класс. Часть 2;75,00;0,18
1.2.1.1.7.2;VEN000000000428836;Вентана-Граф;6;УМК Шмелева. Русский язык (5-9);Шмелёв А. Д., Флоренская Э. А., Савчук Л. О., Шмелёва Е. Я.;Русский язык. 6 класс. Часть 1;75,00;0,18
1.2.1.1.7.3;VEN000000000428838;Вентана-Граф;7;УМК Шмелева. Русский язык (5-9);Шмелёв А. Д., Флоренская Э. А., Савчук Л. О., Шмелёва Е. Я.;Русский язык. 7 класс;75,00;0,18
1.2.1.1.7.4;VEN000000000428834;Вентана-Граф;8;УМК Шмелева. Русский язык (5-9);Шмелёв А. Д., Флоренская Э. А., Кустова Г. И., Савчук Л. О., Шмелёва Е. Я.;Русский язык. 8 класс;75,00;0,18
1.2.1.2.3.1;VEN000000000428359;Вентана-Граф;5;УМК Ланина. Литература (5-9);Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 5 класс. Часть 1;75,00;0,18
1.2.1.2.3.1;VEN000000000428830;Вентана-Граф;5;;Ланин Б. А., Шамчикова В. М., Устинова Л. Ю.;Литература. 5 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428861;Вентана-Граф;5;УМК Москвина. Литература (5-9);Москвин Г. В., Пуряева Н. Н., Ерохина Е. Л.;Литература. 5 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428862;Вентана-Граф;5;УМК Москвина. Литература (5-9);Москвин Г. В., Пуряева Н. Н., Ерохина Е. Л.;Литература. 5 класс. Часть 1;75,00;0,18
1.2.1.2.3.2;VEN000000000428364;Вентана-Граф;6;УМК Ланина. Литература (5-9);Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 6 класс. Часть 1;75,00;0,18
1.2.1.2.3.2;VEN000000000428365;Вентана-Граф;6;УМК Ланина. Литература (5-9);Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 6 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428859;Вентана-Граф;6;УМК Москвина. Литература (5-9);Москвин Г. В., Пуряева Н. Н., Ерохина Е. Л.;Литература. 6 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428860;Вентана-Граф;6;УМК Москвина. Литература (5-9);Москвин Г. В., Пуряева Н. Н., Ерохина Е. Л.;Литература. 6 класс. Часть 1;75,00;0,18
1.2.1.2.3.3;VEN000000000428369;Вентана-Граф;7;УМК Ланина. Литература (5-9);Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 7 класс. Часть 1;75,00;0,18
1.2.1.2.3.3;VEN000000000428370;Вентана-Граф;7;УМК Ланина. Литература (5-9);Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 7 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428857;Вентана-Граф;7;УМК Москвина. Литература (5-9);Пуряева Н. Н., Москвин Г. В., Ерохина Е. Л.;Литература. 7 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428858;Вентана-Граф;7;УМК Москвина. Литература (5-9);Ерохина Е. Л., Пуряева Н. Н., Москвин Г. В.;Литература. 7 класс. Часть 1;75,00;0,18
1.2.1.2.3.4;VEN000000000428374;Вентана-Граф;8;;Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 8 класс. Часть 1;75,00;0,18
1.2.1.2.3.4;VEN000000000428375;Вентана-Граф;8;;Ланин Б. А., Устинова Л. Ю., Шамчикова В. М.;Литература. 8 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428855;Вентана-Граф;8;УМК Москвина. Литература (5-9);Пуряева Н. Н., Ерохина Е. Л., Москвин Г. В.;Литература. 8 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428856;Вентана-Граф;8;УМК Москвина. Литература (5-9);Москвин Г. В., Пуряева Н. Н., Ерохина Е. Л.;Литература. 8 класс. Часть 1;75,00;0,18
1.2.1.2.3.5;VEN000000000428379;Вентана-Граф;9;;Ланин Б. А., Устинова Л. Ю.;Литература. 9 класс. Часть 1;75,00;0,18
99.99.99.99.99.99;VEN000000000428853;Вентана-Граф;9;УМК Москвина. Литература (5-9);Москвин Г. В., Ерохина Е. Л., Пуряева Н. Н.;Литература. 9 класс. Часть 2;75,00;0,18
99.99.99.99.99.99;VEN000000000428854;Вентана-Граф;9;УМК Москвина. Литература (5-9);Москвин Г. В., Пуряева Н. Н., Ерохина Е. Л.;Литература. 9 класс. Часть 1;75,00;0,18
1.2.1.2.5.5;VEN000000000428380;Вентана-Граф;9;;Ланин Б. А., Устинова Л. Ю.;Литература. 9 класс. Часть 2;75,00;0,18
1.2.1.3.6.1;VEN000000000428780;Вентана-Граф;5;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Эббс Б., Уоэрелл Э.;Английский язык. 5 класс. Часть 1;75,00;0,18
1.2.1.3.6.1;VEN000000000428781;Вентана-Граф;5;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Уоэрелл Э., Эббс Б.;Английский язык. 5 класс. Часть 2;75,00;0,18
1.2.1.3.6.2;VEN000000000428782;Вентана-Граф;6;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Гаярделли М., Редли П., Савчук Л. О.;Английский язык. 6 класс. Часть 1;75,00;0,18
1.2.1.3.6.2;VEN000000000428783;Вентана-Граф;6;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Гаярделли М., Редли П., Савчук Л. О.;Английский язык. 6 класс. Часть 2;75,00;0,18
1.2.1.3.6.3;VEN000000000428180;Вентана-Граф;7;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Гаярделли М., Редли П., Миндрул О. С., Савчук Л. О.;Английский язык. 7 класс. Часть 2;75,00;0,18
1.2.1.3.6.3;VEN000000000428181;Вентана-Граф;7;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Гаярделли М., Редли П., Миндрул О. С., Савчук Л. О.;Английский язык. 7 класс. Часть 1;75,00;0,18
1.2.1.3.6.4;VEN000000000428182;Вентана-Граф;8;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Маккинли С., Хастингс Б., Миндрул О. С.;Английский язык. 8 класс;75,00;0,18
1.2.1.3.6.5;VEN000000000428187;Вентана-Граф;9;"УМК Вербицкой. Английский язык ""Forward"" (5-9)";Вербицкая М. В., Маккинли С., Хастингс Б., Миндрул О. С., Твердохлебова И. П.;Английский язык. 9 класс;75,00;0,18
1.2.1.4.3.1;VEN000000000429792;Вентана-Граф;5;;Красова Г. А., Дорофеева Н. С.;Итальянский язык. 5 класс;75,00;0,18
1.2.1.4.3.2;VEN000000000429791;Вентана-Граф;6;;Дорофеева Н. С., Красова Г. А.;Итальянский язык. 6 класс;75,00;0,18
1.2.1.4.3.3;VEN000000000429790;Вентана-Граф;7;;Дорофеева Н. С., Красова Г. А.;Итальянский язык. 7 класс;75,00;0,18
1.2.1.4.3.4;VEN000000000429788;Вентана-Граф;8;;Дорофеева Н. С., Красова Г. А.;Итальянский язык. 8 класс;75,00;0,18
1.2.2.2.3.1;VEN000000000428241;Вентана-Граф;5;;Майков А. Н.;История. 5 класс;75,00;0,18
1.2.2.2.3.2;VEN000000000428823;Вентана-Граф;5;;Андреевская Т. П., Белкин М. В., Ванина Э. В.;Всеобщая история. История Древнего мира. 5 класс;75,00;0,18
1.2.2.2.3.3;VEN000000000428824;Вентана-Граф;6;;Искровская Л. В., Федоров С. Е., Гурьянова Ю. В., Мясников В. С.;Всеобщая история. История средних веков. 6 класс;75,00;0,18
1.2.2.2.3.4;VEN000000000428249;Вентана-Граф;7;;Носков В. В., Андреевская Т. П.;Всеобщая история. История. 7 класс;75,00;0,18
1.2.2.2.3.5;VEN000000000428251;Вентана-Граф;8;;Носков В. В., Андреевская Т. П.;Всеобщая история. История. 8 класс;75,00;0,18
