IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
237944;233077;233078;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233077;85;;;
237945;233079;233080;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233079;85;;;
237946;233081;233082;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233081;85;;;
237947;233083;233084;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233083;85;;;
237948;233085;233086;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233085;85;;;
237949;233087;233088;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233087;85;;;
237950;233089;233090;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233089;85;;;
237951;233091;233092;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233091;85;;;
237952;233093;233094;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233093;85;;;
237953;233095;233096;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233095;85;;;
237954;233097;233098;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233097;85;;;
237955;233099;233100;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233099;85;;;
237956;233101;233102;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233101;85;;;
237957;233103;233104;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233103;85;;;
237958;233105;233106;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233105;85;;;
237959;233107;233108;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233107;85;;;
237960;233109;233110;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233109;85;;;
237961;233111;233112;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233111;85;;;
237962;233113;233114;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233113;85;;;
237963;233115;233116;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233115;85;;;
237964;233117;233118;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233117;85;;;
237965;233119;233120;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233119;85;;;
237966;233121;233122;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233121;85;;;
237967;233123;233124;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233123;85;;;
237968;233125;233126;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233125;85;;;
237969;233127;233128;Y;;;;;text;;;text;;500;;258;115;237785;02.09.17;233127;85;;;
