IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP227;IP_PROP228;IP_PROP230;IP_PROP229;IP_PROP226;IP_PROP231;IC_GROUP0;IC_GROUP1;IC_GROUP2
231742;231741;231742;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231741;105;;;
231744;231743;231744;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231743;105;;;
231746;231745;231746;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231745;105;;;
231748;231747;231748;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231747;105;;;
231750;231749;231750;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231749;105;;;
231752;231751;231752;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231751;105;;;
231754;231753;231754;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231753;105;;;
231756;231755;231756;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231755;105;;;
231758;231757;231758;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231757;105;;;
231760;231759;231760;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231759;105;;;
231762;231761;231762;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231761;105;;;
231764;231763;231764;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231763;105;;;
231766;231765;231766;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231765;105;;;
231768;231767;231768;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231767;105;;;
231770;231769;231770;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231769;105;;;
231772;231771;231772;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231771;105;;;
231774;231773;231774;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231773;105;;;
231776;231775;231776;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231775;105;;;
231778;231777;231778;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231777;105;;;
231780;231779;231780;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231779;105;;;
231782;231781;231782;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231781;105;;;
231784;231783;231784;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231783;105;;;
231786;231785;231786;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231785;105;;;
231788;231787;231788;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231787;105;;;
231790;231789;231790;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231789;105;;;
231792;231791;231792;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231791;105;;;
231794;231793;231794;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231793;105;;;
231796;231795;231796;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231795;105;;;
231798;231797;231798;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231797;105;;;
231800;231799;231800;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231799;105;;;
231802;231801;231802;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231801;105;;;
231804;231803;231804;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231803;105;;;
231806;231805;231806;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231805;105;;;
231808;231807;231808;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231807;105;;;
231810;231809;231810;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231809;105;;;
231812;231811;231812;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231811;105;;;
231814;231813;231814;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231813;105;;;
231816;231815;231816;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231815;105;;;
231818;231817;231818;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231817;105;;;
231820;231819;231820;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231819;105;;;
231822;231821;231822;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231821;105;;;
231824;231823;231824;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231823;105;;;
231826;231825;231826;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231825;105;;;
231828;231827;231828;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231827;105;;;
231830;231829;231830;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231829;105;;;
231832;231831;231832;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231831;105;;;
231834;231833;231834;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231833;105;;;
231836;231835;231836;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231835;105;;;
231838;231837;231838;Y;;;;;text;;;text;;500;;184;122;231587;01.09.2017;231837;105;;;
