Федеральный перечень учебников, рекомендуемых к использованию при реализации имеющих государственную аккредитацию образовательных программ начального общего, основного общего, среднего общего образования;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Порядковый номер учебника;Система;Код 1С;Автор/авторский коллектив;Наименование учебника;Класс;"Автор в 1С издательства ""Просвещение""";"Наименование в 1С издательства ""Просвещение""";Линия УМК;Примечание;Год издания;Цена с НДС, руб. ;Заказ (количество экз);Система;
1. Учебники, рекомендуемые к использованию при реализации обязательной части основной образовательной программы;;;;;;;;;;;;;;
1.1. Начальное общее образование;;;;;;;;;;;;;;
1.1.1. Филология (предметная область);;;;;;;;;;;;;;
1.1.2.1.8.1;Школа России;07-0019-18;Моро М.И., Волкова С.И., Степанова С.В.;Математика. В 2-х частях;1;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 класс. В 2-х ч. Ч. 1;Моро М.И. (1-4);с online поддержкой;2017;287,98;;Школа России;
1.1.2.1.8.1;Школа России;07-0020-18;;;1;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 класс. В 2-х ч. Ч. 2.;Моро М.И. (1-4);с online поддержкой;2017;287,98;;Школа России;
1.1.2.1.8.2;Школа России;07-0021-20;Моро М.И., Бантова М.А., Бельтюкова Г.В. и др. ;Математика. В 2-х частях;2;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 класс. В 2-х ч. Ч. 1;Моро М.И. (1-4);с online поддержкой;2017;316,69;;Школа России;
1.1.2.1.8.2;Школа России;07-0022-18;;;2;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 класс. В 2-х ч. Ч. 2. ;Моро М.И. (1-4);с online поддержкой;2017;316,69;;Школа России;
1.1.2.1.8.3;Школа России;07-0023-19;Моро М.И., Бантова М.А., Бельтюкова Г.В. и др. ;Математика. В 2-х частях;3;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 класс. В 2-х ч. Ч. 1.;Моро М.И. (1-4);с online поддержкой;2017;316,69;;Школа России;
1.1.2.1.8.3;Школа России;07-0024-21;;;3;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 класс. В 2-х ч. Ч. 2.;Моро М.И. (1-4);с online поддержкой;2017;316,69;;Школа России;
1.1.2.1.8.4;Школа России;07-0025-13;Моро М.И., Бантова М.А., Бельтюкова Г.В. и др. ;Математика. В 2-х частях;4;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 4 класс. В 2-х ч. Ч. 1 ;Моро М.И. (1-4);с online поддержкой;2017;316,69;;Школа России;
1.1.2.1.8.4;Школа России;07-0026-11;;;4;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 4 класс. В 2-х ч. Ч. 2 ;Моро М.И. (1-4);с online поддержкой;2017;316,69;;Школа России;
2.1.2.2.4.1;Перспектива;14-0211-01;Рудченко Т.А., Семёнов А.Л. (под ред. Семёнова А.Л.);Информатика;1;Рудченко Т. А., Семёнов А.Л. / Под ред. Семёнова А.Л.;Информатика. 1 класс.;Рудченко Т.А. (1-4);;2017;301,18;;Перспектива;
2.1.2.2.4.2;Перспектива;14-0212-01;Рудченко Т.А., Семёнов А.Л. (под ред. Семёнова А.Л.);Информатика;2;Рудченко Т. А., Семёнов А.Л. / Под ред. Семёнова А.Л.;Информатика. 2 класс.;Рудченко Т.А. (1-4);;2017;331,43;;Перспектива;
2.1.2.2.4.3;Перспектива;14-0222-01;Рудченко Т.А., Семёнов А.Л. (под ред. Семёнова А.Л.);Информатика;3;Рудченко Т. А., Семёнов А.Л
