;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
124;1.2.2.3.3.2;DRF000000000410859;26033;2130210,111;90x70/16;7БЦ;2;4+0;4+0;офсетная;65;120;160;Никитин А.Ф., Никитина Т.И.;Обществознание;6;Никитин. Обществознание. 6 кл. Учебник. ВЕРТИКАЛЬ;439 У/2013;7/8/13;фгос;Вертикаль;354,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
125;1.2.2.3.3.3;DRF000000000411344;26222;2130230.111;90x60/16;7БЦ;2;4+0;4+0;офсетная;65;120;176;Никитин А.Ф., Никитина Т.И.;Обществознание;7;Никитин. Обществознание. 7 кл. Учебник. ВЕРТИКАЛЬ;440 У/2013;7/8/13;фгос;Вертикаль;354,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;1.2.2.3.3.4;DRF000000000414976;26225;2130260,111;90x60/16;7БЦ;2;4+0;4+0;офсетная;65;120;256;Никитин А.Ф., Никитина Т.И.;Обществознание;8;Никитин. Обществознание. 8 кл. Учебник. ВЕРТИКАЛЬ;441 У/2013;7/8/13;фгос;Вертикаль;354,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;1.2.2.3.3.5;DRF000000000411502;26228;2130290.111;90x60/16;7БЦ;2;4+0;4+0;офсетная;65;120;272;Никитин А.Ф., Никитина Т.И.;Обществознание;9;Никитин. Обществознание. 9 кл. Учебник. ВЕРТИКАЛЬ;442 У/2013;7/17/13;фгос;Вертикаль;354,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
128;1.2.2.4.2.1;DRF000000000410879;26840;2136150.111;90x70/16;7БЦ;4;4+0;4+0;офсетная;65;120;144;Баринова И.И., Плешаков А.А., Сонин Н.И.;География;5;Баринова. Плешаков. География. 5 класс. Учебник. ВЕРТИКАЛЬ;731 У/2010;11/22/10;фгос;Вертикаль;399,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
129;1.2.2.4.2.2;DRF000000000411161;26076;2129930,111;90x70/16;7БЦ;4;4+0;4+0;офсетная;65;120;160;Герасимова Т.П., Неклюкова Н.П.;География;6;Герасимова. География.Начальный курс.6кл. Учебник. ВЕРТИКАЛЬ;243 У/2013;12/6/13;фгос;Вертикаль;399,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
130;1.2.2.4.2.3;DRF000000000413207;26077;2129940.111;70x90/16;Интегральная;4;4+0;;Офсетная;65;120;336;Коринская В.А., Душина И.В., Щенев В.А.;География;7;Коринская. География материков и океанов. 7 класс. Учебник (классич.линия). ВЕРТИКАЛЬ;244 У/2013;10/1/13;фгос;Вертикаль;399,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
131;1.2.2.4.2.4;DRF000000000411846;26078;2129950,111;70x90/16;Интегральная;4;4+0;;Офсетная;65;120;336;Баринова И.И.;География;8;Баринова. География России.Природа. 8кл. Учебник.ВЕРТИКАЛЬ;246 У/2013;10/4/13;фгос;Вертикаль;399,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
132;1.2.2.4.2.5;DRF000000000414697;26079;2129960,111;70x90/16;7БЦ;4;4+0;;Офсетная;65;120;288;Дронов В.П., Ром В.Я.;География;9;Дронов,Ром.География России. Население и хоз-во.9кл.Уч-к.ВЕРТИКАЛЬ;084 У-98-2001/2007;1/9/08;фгос;Вертикаль;399,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
133;1.2.2.4.4.1;DRF000000000411686;26080;2131820.111;90x70/16;Интегральная;4;4+0;4+0;офсетная;65;215;288;Дронов В.П., Савельева Л.Е. Под редакцией Дронова В.П.;География;5-6;Дронов. География.Землеведение. 5-6кл. Учебник. ВЕРТИКАЛЬ;067 У/2012;3/12/12;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
134;1.2.2.4.4.2;DRF000000000415395;26087;2131660.111;70x90/16;Интегральная;4;4+0;;Офсетная;65;235;400;Душина И.В., Коринская В.А., Щенев В.А. Под редакцией Дронова В.П;География;7;Душина. География. 7кл. Материки, океаны, народы и страны. Учебник (УМК Дронов). ВЕРТИКАЛЬ;237 У/2013;12/6/13;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
135;1.2.2.4.4.3;DRF000000000410953;26081;2131550,111;70x90/16;7БЦ;4;4+0;;Офсетная;65;120;272;"Дронов В.П., Баринова И.И.,  Ром В.Я. Под редакцией Дронова В.П.";География;8;Дронов В.П. География. 8 кл. Учебник;086 У/2011;1/15/13;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
136;1.2.2.4.4.4;DRF000000000410890;26082;2131610,111;70x90/16;7БЦ;4;4+0;;Офсетная;65;120;288;"Дронов В.П., Баринова И.И.,  Ром В.Я. Под редакцией Дронова В.П.";География;9;Дронов В.П. География. 9 кл. Учебник;492 У/2012;1/15/13;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
137;1.2.2.4.5.1;DRF000000000409948;26083;2131620.111;90x70/16;Интегральная;4;4+0;4+0;офсетная;65;215;272;Климанова О.А., Климанов В.В., Ким Э.В. и др. Под ред. Климановой О.А.;География;5-6;Климанова. География. 5-6 кл. Учебник. ВЕРТИКАЛЬ;258 У/2013;9/11/13;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
138;1.2.2.4.5.2;DRF000000000414838;26084;2131630.111;70x90/16;Интегральная;4;4+0;;Офсетная;65;215;320;Климанова О.А., Климанов В.В., Ким Э.В. и др. Под ред. Климановой О.А.;География;7;Климанова. География. Страноведение.7кл. Учебник (УМК Климанова). ВЕРТИКАЛЬ;259 У/2013;9/11/13;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
139;1.2.2.4.5.3;DRF000000000415255;26085;2131640,111;70x90/16;Интегральная;4;4+0;;Офсетная;65;120;336;Алексеев А.И., Низовцев В.А,, Ким Э.В. И др. Под редакцией Алексеева А.И.;География;8;Алексеев А.И. География. 8 кл. Учебник;260 У/2013;9/12/13;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
140;1.2.2.4.5.4;DRF000000000414089;26086;2131650,111;70x90/16;Интегральная;4;4+0;;Офсетная;65;120;336;Алексеев А.И., Низовцев В.А,, Ким Э.В. И др. Под редакцией Алексеева А.И.;География;9;Алексеев А.И. География. 9 кл. Учебник;263 У/2013;9/12/13;фгос;Вертикаль;380,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;1.2.3.1.11.1;DRF000000000410580;26350;2131740,111;90x70/16;Интегральная;4;4+0;4+0;офсетная;65;250;320;Муравин Г.К., Муравина О.В.;Математика;5;Муравин. Математика. 5 кл. Учебник. ВЕРТИКАЛЬ;851 У/2008;7/22/09;фгос;Вертикаль;385,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
142;1.2.3.1.11.2;DRF000000000410930;26351;2131750,111;90x70/16;Интегральная;4;4+0;4+0;офсетная;65;250;320;Муравин Г.К., Муравина О.В.;Математика;6;Муравин. Математика. 6 кл. Учебник. ВЕРТИКАЛЬ;1025 У/2008;7/22/09;фгос;Вертикаль;385,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;1.2.3.1.11.3;DRF000000000415413;26352;2131760.111;60x90/16;Интегральная;2;0;;Офсетная;65;250;288;Муравин Г.К. Муравин К.С., Муравина О.В.;Алгебра;7;Муравин. Алгебра. 7 кл. Учебник. ВЕРТИКАЛЬ;732 У/2008;7/22/09;фгос;Вертикаль;385,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
144;1.2.3.1.11.4;DRF000000000410370;26353;2131770,111;90x60/16;Интегральная;2;0;4+0;офсетная;65;250;256;Муравин Г.К. Муравин К.С., Муравина О.В.;Алгебра;8;Муравин. Алгебра. 8 кл. Учебник. ВЕРТИКАЛЬ;854 У/2008;5/18/09;фгос;Вертикаль;385,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;1.2.3.1.11.5;DRF000000000411997;26354;2131780,111;90x60/16;Интегральная;2;0;4+0;офсетная;65;250;320;Муравин Г.К. Муравин К.С., Муравина О.В.;Алгебра;9;Муравин. Алгебра. 9 кл. Учебник. ВЕРТИКАЛЬ;1028 У/2008;7/22/09;фгос;Вертикаль;385,00;0;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
