Id;Nameauthor;fp_code;fp_code1;name;author;class;nds;Price
rus_efu_77;Рытов Д.А. Музыка 1кл.;1.1.5.2.6.1;1.1.5.2.6.1;Музыка 1кл.;Рытов Д.А.;1;0,18;105
rus_efu_78;Рытов Д.А. Музыка 2кл.;1.1.5.2.6.2;1.1.5.2.6.2;Музыка 2кл.;Рытов Д.А.;2;0,18;105
rus_efu_79;Рытов Д.А. Музыка 3кл.;1.1.5.2.6.3;1.1.5.2.6.3;Музыка 3кл.;Рытов Д.А.;3;0,18;105
rus_efu_80;Рытов Д.А. Музыка 3кл.;1.1.5.2.6.3;1.1.5.2.6.3;Музыка 3кл.;Рытов Д.А.;3;0,18;105
rus_efu_81;Рытов Д.А. Музыка 4кл. ч.1;1.1.5.2.6.4;1.1.5.2.6.4;Музыка 4кл. ч.1;Рытов Д.А.;4;0,18;105
rus_efu_82;Рытов Д.А. Музыка 4кл. ч.2;1.1.5.2.6.4;1.1.5.2.6.4;Музыка 4кл. ч.2;Рытов Д.А.;4;0,18;105
rus_efu_83;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В. Основы безопасности жизнедеятельности 8кл.;99.99.99.99.99.99;99.99.99.99.99.99;Основы безопасности жизнедеятельности 8кл.;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В.;8;0,18;105
rus_efu_84;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В. Основы безопасности жизнедеятельности 9кл.;99.99.99.99.99.99;99.99.99.99.99.99;Основы безопасности жизнедеятельности 9кл.;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В.;9;0,18;105
rus_efu_85;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В. Основы безопасности жизнедеятельности 10кл.;99.99.99.99.99.99;99.99.99.99.99.99;Основы безопасности жизнедеятельности 10кл.;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В.;10;0,18;105
rus_efu_86;Сахаров А.Н., Кочегаров К.А., Мухаметшин Р.М. / Под ред. Сахарова А.Н. Основы религиозных культур народов России  5кл.;2.2.4.1.2.1;2.2.4.1.2.1;Основы религиозных культур народов России  5кл.;Сахаров А.Н., Кочегаров К.А., Мухаметшин Р.М. / Под ред. Сахарова А.Н.;5;0,18;105
