4П103-04;ЭФУ;4П154-01;99.99.99.99.99.134;Петерсон Л.Г., Агаханов Н.Х., Петрович А.Ю., Подлипский О.К., Рогатова М.В., Трушин Б.В. ;Алгебра: 9 класс (в двух частях). Ч.1;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
4П104-04;ЭФУ;4П155-01;99.99.99.99.99.135;Петерсон Л.Г., Агаханов Н.Х., Петрович А.Ю., Подлипский О.К., Рогатова М.В., Трушин Б.В. ;Алгебра: 9 класс (в двух частях). Ч.2;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Б010-04;ЭФУ;1Б101-01;99.99.99.99.99.136;Босова Л.Л.,  Босова А.Ю.                                       ;Информатика. 5 класс;5;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Б011-04;ЭФУ;1Б102-01;99.99.99.99.99.137;Босова Л.Л.,  Босова А.Ю.                        ;Информатика. 6 класс;6;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Б012-04;ЭФУ;1Б103-01;99.99.99.99.99.138;Босова Л.Л.,  Босова А.Ю.     ;Информатика. 7 класс;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Б013-04;ЭФУ;1Б104-01;99.99.99.99.99.139;Босова Л.Л.,  Босова А.Ю.   ;Информатика. 8 класс;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Б014-04;ЭФУ;1Б105-01;99.99.99.99.99.140;Босова Л.Л.,  Босова А.Ю.   ;Информатика. 9 класс;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П001-04;ЭФУ;1П058-01;99.99.99.99.99.141;Поляков К.Ю., Еремин Е.А.                          ; Информатика. 7 класс (в двух частях). Ч.1;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П079-04;ЭФУ;1П106-01;99.99.99.99.99.142;Поляков К.Ю., Еремин Е.А.                          ; Информатика. 7 класс (в двух частях). Ч.2;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П003-04;ЭФУ;1П059-01;99.99.99.99.99.143;Поляков К.Ю., Еремин Е.А.                          ;Информатика. 8 класс ;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1П002-04;ЭФУ;1П060-01;99.99.99.99.99.144;Поляков К.Ю., Еремин Е.А.                          ;Информатика. 9 класс ;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С015-04;ЭФУ;1С107-01;99.99.99.99.99.145;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестакова Л.В.        ;Информатика. 7 класс ;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1У018-04;ЭФУ;1У116-01;99.99.99.99.99.146;Угринович Н.Д.                         ;Информатика. 7 класс ;7;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С016-04;ЭФУ;1С108-01;99.99.99.99.99.147;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестакова Л.В.    ;Информатика. 8 класс ;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1У019-01;ЭФУ;1У117-01;99.99.99.99.99.148;Угринович Н.Д.      ;Информатика. 8 класс ;8;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С017-04;ЭФУ;1С109-01;99.99.99.99.99.149;Семакин И.Г., Залогова Л.А., Русаков С.В., Шестакова Л.В. ;Информатика. 9 класс ;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С020-04;ЭФУ;1У118-01;99.99.99.99.99.150;Угринович Н.Д.                                                     ;Информатика. 9 класс ;9;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Б061-04;ЭФУ;1Б075-01;99.99.99.99.99.151;Босова Л.Л.,  Босова А.Ю.     ;Информатика. 10 класс. Базовый уровень ;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1Б062-04;ЭФУ;1Б076-01;99.99.99.99.99.152;Босова Л.Л.,  Босова А.Ю.  ;Информатика. 11 класс. Базовый уровень ;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1У033-04;ЭФУ;1У078-01;99.99.99.99.99.153;Угринович Н.Д.                                                                                    ;Информатика. 10 класс. Базовый уровень ;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1У034-04;ЭФУ;1У079-01;99.99.99.99.99.154;Угринович Н.Д.    ;Информатика. 11 класс. Базовый уровень ;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С021-04;ЭФУ;1С110-01;99.99.99.99.99.155;Cемакин И.Г., Хеннер Е.К., Шеина Т.Ю.                                                                    ;Информатика. 10 класс. Базовый уровень ;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С022-04;ЭФУ;1С111-01;99.99.99.99.99.156;Cемакин И.Г., Хеннер Е.К., Шеина Т.Ю.                                                                 ;Информатика. 11 класс. Базовый уровень ;11;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С023-04;ЭФУ;1С112-01;99.99.99.99.99.157;Семакин И.Г., Шеина Т.Ю., Шестакова Л.В.;Информатика. 10 класс. Углубленный уровень (в двух частях). Ч.1;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
1С024-04;ЭФУ;1С113-01;99.99.99.99.99.158;Семакин И.Г., Шеина Т.Ю., Шестакова Л.В. ;Информатика. 10 класс. Углубленный уровень (в двух частях). Ч.2;10;2017;85,00;18%;;;;;;;;;;;;;;;;;;
