06-0300-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);3;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
06-0301-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 3 класс. В 2-х ч. Ч.2. Электронная форма учебника.  (Лицензия 5 лет);3;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
06-0302-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);4;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
06-0303-01_l5;Климанова Л.Ф., Горецкий В. Г., Голованова М. В. и др.;Литературное чтение. 4 класс. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);4;Климанова Л.Ф. (1-4);Школа России;99.99.99.99.99.99;181
07-0388-01_l5;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);1;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0389-01_l5;Моро М. И., Волкова С. И., Степанова С. В.;Математика. 1 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);1;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0391-01_l5;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);2;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0392-01_l5;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 2 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);2;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0393-01_l5;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);3;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0394-01_l5;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 3 кл. В 3-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);3;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0395-01_l5;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 4 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);4;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0396-01_l5;Моро М. И., Бантова М. А., Бельтюкова Г. В. и др.;Математика. 4 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);4;Моро М.И. (1-4);Школа России;99.99.99.99.99.99;181
07-0397-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 1 кл. В 2-х ч. Ч.1 Электронная форма учебника. (Лицензия 5 лет);1;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
07-0398-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 1 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);1;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
07-0399-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 2 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);2;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
07-0400-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 2 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);2;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
07-0401-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 3 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);3;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
07-0403-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 4 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);4;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
07-0404-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 4 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);4;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
07-0405-01_l5;Дорофеев Г. В., Миракова Т. Н., Бука Т. Б.;Математика. 3 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);3;Дорофеев Г.В. (1-4);Перспектива (альтернативная линия);99.99.99.99.99.99;181
08-0339-01_l5;Плешаков А. А.;Окружающий мир. 1 кл. В 2-х ч. Ч.1. Электронная форма учебника.  (Лицензия 5 лет);1;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0340-01_l5;Плешаков А. А.;Окружающий мир. 1 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);1;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0341-01_l5;Плешаков А. А.;Окружающий мир. 2 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);2;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0342-01_l5;Плешаков А. А.;Окружающий мир. 2 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);2;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0343-01_l5;Плешаков А. А.;Окружающий мир. 3 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);3;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0344-01_l5;Плешаков А. А.;Окружающий мир. 3 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);3;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0345-01_l5;Плешаков А. А., Крючкова Е. А.;Окружающий мир. 4 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);4;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0346-01_l5;Плешаков А. А., Крючкова Е. А.;Окружающий мир. 4 кл. В 2-х ч. Ч.2. Электронная форма учебника. (Лицензия 5 лет);4;Плешаков А.А.  (1-4);Школа России;99.99.99.99.99.99;181
08-0347-01_l5;Плешаков А. А., Новицкая М. Ю.;Окружающий мир. 1 кл. В 2-х ч. Ч.1. Электронная форма учебника. (Лицензия 5 лет);1;Плешаков А.А., Новицкая М.Ю. (1-4);Перспектива;99.99.99.99.99.99;181
