Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 2кл. (Тест);rus_test_efu37;1.1.5.1.8.2;1.1.5.1.8.2;Изобразительное искусство 2кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;2;0,18;105
Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 3кл. (Тест);rus_test_efu38;1.1.5.1.8.3;1.1.5.1.8.3;Изобразительное искусство 3кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;3;0,18;105
Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г. Изобразительное искусство 4кл. (Тест);rus_test_efu39;1.1.5.1.8.4;1.1.5.1.8.4;Изобразительное искусство 4кл.;Савенкова Л.Г., Ермолинская Е.А., Селиванова Т.В.,Селиванов Н.Л./Под ред.Савенковой Л.Г.;4;0,18;105
Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под.ред.Савенковой Л.Г. Изобразительное искусство 5-6кл. (Тест);rus_test_efu40;1.2.5.1.4.1;1.2.5.1.4.1;Изобразительное искусство 5-6кл.;Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под.ред.Савенковой Л.Г.;5-6 кл;0,18;105
Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под ред.Савенковой Л.Г. Изобразительное искусство 7-8кл. (Тест);rus_test_efu41;1.2.5.1.4.2;1.2.5.1.4.2;Изобразительное искусство 7-8кл.;Савенкова Л.Г.,Ермолинская Е.А.,Селиванов Н.Л.,Селиванова Т.В.,Павлова Г.В./Под ред.Савенковой Л.Г.;7-8 кл;0,18;105
Сахаров А.Н.,Загладин Н.В. История.История с древнейших времен до конца ХIХ в 10кл.Базовый уровень (Тест);rus_test_efu42;1.3.3.1.6.1;1.3.3.1.6.1;История.История с древнейших времен до конца ХIХ в 10кл.Базовый уровень;Сахаров А.Н.,Загладин Н.В.;10;0,18;105
Загладин Н.В.,Петров Ю.А. История.Конец XIX-начало XXI века.Базовый уровень 11кл. (Тест);rus_test_efu43;1.3.3.1.6.2;1.3.3.1.6.2;История.Конец XIX-начало XXI века.Базовый уровень 11кл.;Загладин Н.В.,Петров Ю.А.;11;0,18;105
Пчелов Е.В.,Лукин П.В./Под ред.Петрова Ю.А. История России с древнейших времен до начала XVI века 6кл. (Тест);rus_test_efu44;1.2.2.1.8.1;1.2.2.1.8.1;История России с древнейших времен до начала XVI века 6кл.;Пчелов Е.В.,Лукин П.В./Под ред.Петрова Ю.А.;6;0,18;105
Пчелов Е. В. История России 7 кл. XVII — XVIII века. Учебник. (Тест);rus_test_efu45;1.2.2.1.8.2;1.2.2.1.8.2;История России 7 кл. XVII — XVIII века. Учебник.;Пчелов Е. В.;7;0,18;105
Захаров В.Н.,Пчелов Е.В./Под ред.Петрова Ю.А. История России XVIII век. 8 кл. (Тест);rus_test_efu46;1.2.2.1.8.3;1.2.2.1.8.3;История России XVIII век. 8 кл.;Захаров В.Н.,Пчелов Е.В./Под ред.Петрова Ю.А.;8;0,18;105
Соловьев К.А.,Шевырев А.П./Под ред.Петрова Ю.А. История России 9кл. 1801-1914гг. (Тест);rus_test_efu47;1.2.2.1.8.4;1.2.2.1.8.4;История России 9кл. 1801-1914гг.;Соловьев К.А.,Шевырев А.П./Под ред.Петрова Ю.А.;9;0,18;105
Рахимбекова Л. Ш. Китайский язык 10 кл. (Тест);rus_test_efu48;99.99.99.99.99.99;99.99.99.99.99.99;Китайский язык 10 кл.;Рахимбекова Л. Ш.;10;0,18;105
Рахимбекова Л. Ш. Китайский язык 11 кл. (Тест);rus_test_efu49;99.99.99.99.99.99;99.99.99.99.99.99;Китайский язык 11 кл.;Рахимбекова Л. Ш.;11;0,18;105
Меркин Г.С. Литература 5кл.1ч. (Тест);rus_test_efu50;1.2.1.2.4.1;1.2.1.2.4.1;Литература 5кл.1ч.;Меркин Г.С.;5;0,18;105
Меркин Г.С. Литература 5кл.2ч. (Тест);rus_test_efu51;1.2.1.2.4.1;1.2.1.2.4.1;Литература 5кл.2ч.;Меркин Г.С.;5;0,18;105
Меркин Г.С. Литература 6кл.1ч. (Тест);rus_test_efu52;1.2.1.2.4.2;1.2.1.2.4.2;Литература 6кл.1ч.;Меркин Г.С.;6;0,18;105
Меркин Г.С. Литература 6кл.2ч. (Тест);rus_test_efu53;1.2.1.2.4.2;1.2.1.2.4.2;Литература 6кл.2ч.;Меркин Г.С.;6;0,18;105
Меркин Г.С. Литература 7кл.1ч. (Тест);rus_test_efu54;1.2.1.2.4.3;1.2.1.2.4.3;Литература 7кл.1ч.;Меркин Г.С.;7;0,18;105
Меркин Г.С. Литература 7кл.2ч. (Тест);rus_test_efu55;1.2.1.2.4.3;1.2.1.2.4.3;Литература 7кл.2ч.;Меркин Г.С.;7;0,18;105
Меркин Г.С. Литература 8кл.1ч. (Тест);rus_test_efu56;1.2.1.2.4.4;1.2.1.2.4.4;Литература 8кл.1ч.;Меркин Г.С.;8;0,18;105
Меркин Г.С. Литература 8кл.2ч. (Тест);rus_test_efu57;1.2.1.2.4.4;1.2.1.2.4.4;Литература 8кл.2ч.;Меркин Г.С.;8;0,18;105
Зинин С.А.,Сахаров В.И.,Чалмаев В.А. Литература 9кл.1ч. (Тест);rus_test_efu58;1.2.1.2.4.5;1.2.1.2.4.5;Литература 9кл.1ч.;Зинин С.А.,Сахаров В.И.,Чалмаев В.А.;9;0,18;105
Зинин С.А.,Сахаров В.И.,Чалмаев В.А. Литература 9кл.2ч. (Тест);rus_test_efu59;1.2.1.2.4.5;1.2.1.2.4.5;Литература 9кл.2ч.;Зинин С.А.,Сахаров В.И.,Чалмаев В.А.;9;0,18;105
Гулин А.В.,Романова А.Н. Литература 5кл.1ч. (Тест);rus_test_efu60;99.99.99.99.99.99;99.99.99.99.99.99;Литература 5кл.1ч.;Гулин А.В.,Романова А.Н.;5;0,18;105
Гулин А.В.,Романова А.Н. Литература 5кл.2ч. (Тест);rus_test_efu61;99.99.99.99.99.99;99.99.99.99.99.99;Литература 5кл.2ч.;Гулин А.В.,Романова А.Н.;5;0,18;105
Гулин А.В.,Романова А.Н. Литература 6кл.2ч. (Тест);rus_test_efu62;99.99.99.99.99.99;99.99.99.99.99.99;Литература 6кл.2ч.;Гулин А.В.,Романова А.Н.;6;0,18;105
Гулин А.В.,Романова А.Н. Литература 6кл.2ч. (Тест);rus_test_efu63;99.99.99.99.99.99;99.99.99.99.99.99;Литература 6кл.2ч.;Гулин А.В.,Романова А.Н.;6;0,18;105
Гулин А.В.,Романова А.Н. Литература 7кл.1ч. (Тест);rus_test_efu64;99.99.99.99.99.99;99.99.99.99.99.99;Литература 7кл.1ч.;Гулин А.В.,Романова А.Н.;7;0,18;105
Гулин А.В.,Романова А.Н. Литература 7кл.2ч. (Тест);rus_test_efu65;99.99.99.99.99.99;99.99.99.99.99.99;Литература 7кл.2ч.;Гулин А.В.,Романова А.Н.;7;0,18;105
Гулин А.В.,Романова А.Н. Литература 8кл.1ч. (Тест);rus_test_efu66;99.99.99.99.99.99;99.99.99.99.99.99;Литература 8кл.1ч.;Гулин А.В.,Романова А.Н.;8;0,18;105
Гулин А.В.,Романова А.Н. Литература 8кл.2ч. (Тест);rus_test_efu67;99.99.99.99.99.99;99.99.99.99.99.99;Литература 8кл.2ч.;Гулин А.В.,Романова А.Н.;8;0,18;105
Гулин А.В.,Романова А.Н. Литература 9кл.1ч. (Тест);rus_test_efu68;99.99.99.99.99.99;99.99.99.99.99.99;Литература 9кл.1ч.;Гулин А.В.,Романова А.Н.;9;0,18;105
Гулин А.В.,Романова А.Н. Литература 9кл.2ч. (Тест);rus_test_efu69;99.99.99.99.99.99;99.99.99.99.99.99;Литература 9кл.2ч.;Гулин А.В.,Романова А.Н.;9;0,18;105
Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А. Математика 5кл. (Тест);rus_test_efu70;1.2.3.1.9.1;1.2.3.1.9.1;Математика 5кл.;Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А.;5;0,18;105
Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А. Математика 6кл. (Тест);rus_test_efu71;1.2.3.1.9.2;1.2.3.1.9.2;Математика 6кл.;Козлов В.В., Никитин А.А., Белоносов В.С. и др. / Под ред. Козлова В.В. и Никитина А.А.;6;0,18;105
Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред. Козлова В.В. и Никитина А.А. Математика.Алгебра и геометрия 7кл. (Тест);rus_test_efu72;1.2.3.1.9.3;1.2.3.1.9.3;Математика.Алгебра и геометрия 7кл.;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред. Козлова В.В. и Никитина А.А.;7;0,18;105
Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А. Математика.Алгебра и геометрия 8кл. (Тест);rus_test_efu73;1.2.3.1.9.4;1.2.3.1.9.4;Математика.Алгебра и геометрия 8кл.;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А.;8;0,18;105
Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А. Математика.Алгебра и геометрия 9кл. (Тест);rus_test_efu74;1.2.3.1.9.5;1.2.3.1.9.5;Математика.Алгебра и геометрия 9кл.;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др.Под ред. Козлова В.В. и Никитина А.А.;9;0,18;105
Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А. Математика.Алгебра и геометрия 10кл.Базовый и углубленный уровни (Тест);rus_test_efu75;1.3.4.1.5.1;1.3.4.1.5.1;Математика.Алгебра и геометрия 10кл.Базовый и углубленный уровни;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А.;10;0,18;105
Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А. Математика.Алгебра и геометрия 11кл.Базовый и углублённый уровни (Тест);rus_test_efu76;1.3.4.1.5.2;1.3.4.1.5.2;Математика.Алгебра и геометрия 11кл.Базовый и углублённый уровни;Козлов В.В.,Никитин А.А.,Белоносов В.С. и др./Под ред.Козлова В.В.,Никитина А.А.;11;0,18;105
Рытов Д.А. Музыка 1кл. (Тест);rus_test_efu77;1.1.5.2.6.1;1.1.5.2.6.1;Музыка 1кл.;Рытов Д.А.;1;0,18;105
Рытов Д.А. Музыка 2кл. (Тест);rus_test_efu78;1.1.5.2.6.2;1.1.5.2.6.2;Музыка 2кл.;Рытов Д.А.;2;0,18;105
Рытов Д.А. Музыка 3кл. (Тест);rus_test_efu79;1.1.5.2.6.3;1.1.5.2.6.3;Музыка 3кл.;Рытов Д.А.;3;0,18;105
Рытов Д.А. Музыка 3кл. (Тест);rus_test_efu80;1.1.5.2.6.3;1.1.5.2.6.3;Музыка 3кл.;Рытов Д.А.;3;0,18;105
Рытов Д.А. Музыка 4кл. ч.1 (Тест);rus_test_efu81;1.1.5.2.6.4;1.1.5.2.6.4;Музыка 4кл. ч.1;Рытов Д.А.;4;0,18;105
Рытов Д.А. Музыка 4кл. ч.2 (Тест);rus_test_efu82;1.1.5.2.6.4;1.1.5.2.6.4;Музыка 4кл. ч.2;Рытов Д.А.;4;0,18;105
Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В. Основы безопасности жизнедеятельности 8кл. (Тест);rus_test_efu83;99.99.99.99.99.99;99.99.99.99.99.99;Основы безопасности жизнедеятельности 8кл.;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В.;8;0,18;105
Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В. Основы безопасности жизнедеятельности 9кл. (Тест);rus_test_efu84;99.99.99.99.99.99;99.99.99.99.99.99;Основы безопасности жизнедеятельности 9кл.;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В.;9;0,18;105
Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В. Основы безопасности жизнедеятельности 10кл. (Тест);rus_test_efu85;99.99.99.99.99.99;99.99.99.99.99.99;Основы безопасности жизнедеятельности 10кл.;Аюбов Э.Н.,Прищепов Д.З.,Муркова М.В.;10;0,18;105
Сахаров А.Н., Кочегаров К.А., Мухаметшин Р.М. / Под ред. Сахарова А.Н. Основы религиозных культур народов России  5кл. (Тест);rus_test_efu86;2.2.4.1.2.1;2.2.4.1.2.1;Основы религиозных культур народов России  5кл.;Сахаров А.Н., Кочегаров К.А., Мухаметшин Р.М. / Под ред. Сахарова А.Н.;5;0,18;105
Студеникин М.Т. Основы светской этики  5кл. (Тест);rus_test_efu87;2.2.4.1.2.2;2.2.4.1.2.2;Основы светской этики  5кл.;Студеникин М.Т.;5;0,18;105
Бородина А.В. Основы православной культуры 4кл. (Тест);rus_test_efu88;1.1.4.1.6.3;1.1.4.1.6.3;Основы православной культуры 4кл.;Бородина А.В.;4;0,18;105
Янушкявичене О.Л., Васечко Ю.С., протоиерей Виктор Дорофеев, Яшина О.Н. Основы православной культуры 4кл. (Тест);rus_test_efu89;1.1.4.1.6.4;1.1.4.1.6.4;Основы православной культуры 4кл.;Янушкявичене О.Л., Васечко Ю.С., протоиерей Виктор Дорофеев, Яшина О.Н.;4;0,18;105
Сахаров А.Н., Кочегаров К.А. / Под ред. Сахарова  А.Н. Основы религиозных культур народов России  4кл. (Тест);rus_test_efu90;1.1.4.1.6.1;1.1.4.1.6.1;Основы религиозных культур народов России  4кл.;Сахаров А.Н., Кочегаров К.А. / Под ред. Сахарова  А.Н.;4;0,18;105
Студеникин М.Т. Основы светской этики  4кл. ФГОС (Тест);rus_test_efu91;1.1.4.1.6.2;1.1.4.1.6.2;Основы светской этики  4кл. ФГОС;Студеникин М.Т.;4;0,18;105
Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.1ч. (Тест);rus_test_efu92;1.3.3.8.2.1;1.3.3.8.2.1;Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.1ч.;Певцова Е.А.;10;0,18;105
Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.2ч. (Тест);rus_test_efu93;1.3.3.8.2.1;1.3.3.8.2.1;Право.Основы правовой культуры (базовый и углубленный уровни)  10кл.2ч.;Певцова Е.А.;10;0,18;105
Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.1ч. (Тест);rus_test_efu94;1.3.3.8.2.2;1.3.3.8.2.2;Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.1ч.;Певцова Е.А.;11;0,18;105
Певцова Е.А. Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.2ч. (Тест);rus_test_efu95;1.3.3.8.2.2;1.3.3.8.2.2;Право.Основы правовой культуры (базовый и углубленный уровни)  11кл.2ч.;Певцова Е.А.;11;0,18;105
Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А. Русский язык 5кл.1ч. (Тест);rus_test_efu96;1.2.1.1.3.1;1.2.1.1.3.1;Русский язык 5кл.1ч.;Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А.;5;0,18;105
Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А Русский язык 5кл.2ч. (Тест);rus_test_efu97;1.2.1.1.3.1;1.2.1.1.3.1;Русский язык 5кл.2ч.;Быстрова Е.А.,Кибирева Л.В. и др. /Под ред. Быстровой Е.А;5;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 6кл.1ч. (Тест);rus_test_efu98;1.2.1.1.3.2;1.2.1.1.3.2;Русский язык 6кл.1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;6;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 6кл.2ч. (Тест);rus_test_efu99;1.2.1.1.3.2;1.2.1.1.3.2;Русский язык 6кл.2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;6;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 7кл.1ч. (Тест);rus_test_efu100;1.2.1.1.3.3;1.2.1.1.3.3;Русский язык 7кл.1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;7;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 7кл.2ч. (Тест);rus_test_efu101;1.2.1.1.3.3;1.2.1.1.3.3;Русский язык 7кл.2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;7;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 8кл. 1ч. (Тест);rus_test_efu102;1.2.1.1.3.4;1.2.1.1.3.4;Русский язык 8кл. 1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;8;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 8кл. 2ч. (Тест);rus_test_efu103;1.2.1.1.3.4;1.2.1.1.3.4;Русский язык 8кл. 2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;8;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 9кл. 1ч. (Тест);rus_test_efu104;1.2.1.1.3.5;1.2.1.1.3.5;Русский язык 9кл. 1ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;9;0,18;105
Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А. Русский язык 9кл. 2ч. (Тест);rus_test_efu105;1.2.1.1.3.5;1.2.1.1.3.5;Русский язык 9кл. 2ч.;Быстрова Е.А., Кибирева Л.В. и др. / Под ред. Быстровой Е.А.;9;0,18;105
Зинин С.А., Сахаров В.И. Литература 10кл.1ч. (Тест);rus_test_efu106;1.3.1.1.3.2;1.3.1.1.3.2;Литература 10кл.1ч.;Зинин С.А., Сахаров В.И.;10;0,18;105
