№ ФП ;Код 1С (группа);Автор/авторский коллектив;Наименование учебника;Класс;Цена с доставкой (в т.ч. НДС), руб.
1.1.6.1.11.2;VEN000000000426219;Хохлова М.В., Синица Н.В., Симоненко В.Д., Семенович Н.А., Матяш Н.В., Самородский П.С.;Технология. 2 класс. ;2;314,00
1.1.6.1.11.3;VEN000000000426222;Хохлова М.В., Синица Н.В., Симоненко В.Д., Семенович Н.А., Матяш Н.В., Самородский П.С.;Технология. 3 класс. ;3;328,00
1.1.6.1.11.4;VEN000000000426224;Хохлова М.В., Синица Н.В., Семенович Н.А., Матяш Н.В.;Технология. 4 класс. ;4;328,00
1.1.7.1.5.1;VEN000000000426365;Петрова Т.В., Копылов Ю.А., Полянская Н.В., Петров С.С. ; Физическая культура. 1-2 классы. ;1-2;339,00
1.1.7.1.5.2;VEN000000000426368;Петрова Т.В., Копылов Ю.А., Полянская Н.В., Петров С.С. ; Физическая культура. 3-4 классы. ;3-4;352,00
1.2.1.1.7.1;VEN000000000427168;Шмелёв А.Д., Флоренская Э.А., Габович Ф.Е., Савчук Л.О., Шмелёва Е.Я. / Под ред. Шмелёва А.Д. ; Русский язык. 5 класс. (В 2 ч.)           1 часть  с CD диском;5;375,00
1.2.1.1.7.1;VEN000000000427169;Шмелёв А.Д., Флоренская Э.А., Габович Ф.Е., Савчук Л.О., Шмелёва Е.Я. / Под ред. Шмелёва А.Д. ; Русский язык. 5 класс. (В 2 ч.)            2 часть ( с приложением);5;375,00
1.2.1.1.7.2;VEN000000000427173;Шмелёв А.Д., Флоренская Э.А., Савчук Л.О., Шмелёва Е.Я. / Под ред. Шмелёва А.Д. ; Русский язык. 6 класс. (В 2 ч.)           1 часть с CD диском;6;375,00
1.2.1.1.7.2;VEN000000000427174;Шмелёв А.Д., Флоренская Э.А., Савчук Л.О., Шмелёва Е.Я. / Под ред. Шмелёва А.Д. ; Русский язык. 6 класс. (В 2 ч.)            2 часть (с приложением);6;375,00
1.2.1.1.7.3;VEN000000000427176;Шмелёв А.Д., Флоренская Э.А., Савчук Л.О., Шмелёва Е.Я. / Под ред. Шмелёва А.Д. ; Русский язык. 7 класс. (с аудиоприложением на CD и приложение  печатной основе);7;417,00
1.2.1.1.7.4;VEN000000000427177;Шмелёв А.Д., Флоренская Э.А., Кустова Г.И., Савчук Л.О.,Шмелёва Е.Я. / Под ред. Шмелёва А.Д. ; Русский язык. 8 класс.  (с аудиоприложением на CD и приложение  печатной основе);8;417,00
1.2.1.1.7.5;DRF000000000428571;Шмелёв А.Д., Флоренская Э.А., Митюрёв С.Н., Кустова Г.И., Савчук Л.О., Шмелёва Е.Я. / Под ред. А.Д. Шмелёва; Русский язык. 9 класс.  (с аудиоприложением на CD и приложение  печатной основе);9;417,00
1.2.1.2.3.1;VEN000000000426954;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 5 класс.( В 2 ч.) 1 часть;5;328,00
1.2.1.2.3.1;VEN000000000426955;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 5 класс.( В 2 ч.) 2 часть;5;328,00
1.2.1.2.3.2;VEN000000000427007;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 6 класс. (В 2 ч.) 1 часть;6;343,00
1.2.1.2.3.2;VEN000000000427008;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 6 класс. (В 2 ч.) 2 часть;6;343,00
1.2.1.2.3.3;VEN000000000426956;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 7 класс.( В 2 ч.) 1 часть;7;343,00
1.2.1.2.3.3;VEN000000000426957;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 7 класс.( В 2 ч.) 2 часть;7;343,00
1.2.1.2.3.4;VEN000000000426964;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 8 класс. В 2 ч. Часть 1;8;352,00
1.2.1.2.3.4;VEN000000000426965;Ланин Б.А., Устинова Л.Ю., Шамчикова В.М. / Под ред. Ланина Б.А.; Литература. 8 класс. В 2 ч. Часть 2;8;352,00
1.2.1.2.3.5;VEN000000000426934;Ланин Б.А., Устинова Л.Ю. / Под ред. Ланина Б.А.; Литература. 9 класс. В 2 ч.;9;352,00
1.2.1.2.3.5;VEN000000000426935;Ланин Б.А., Устинова Л.Ю. / Под ред. Ланина Б.А.; Литература. 9 класс. В 2 ч.;9;352,00
1.2.1.2.5.1;VEN000000000426995;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 5 класс. (В 2 ч.) 1 часть;5;328,00
1.2.1.2.5.1;VEN000000000426985;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 5 класс. (В 2 ч.) 2 часть;5;328,00
1.2.1.2.5.2;VEN000000000426943;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 6 класс. (В 2 ч.) 1 часть;6;343,00
1.2.1.2.5.2;VEN000000000426944;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 6 класс. (В 2 ч.) 2 часть;6;343,00
1.2.1.2.5.3;VEN000000000426945;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 7 класс.. (В 2 ч.) 1 часть;7;343,00
1.2.1.2.5.3;VEN000000000426946;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 7 класс.. (В 2 ч.) 2 часть;7;343,00
1.2.1.2.5.4;VEN000000000426930;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 8 класс.. В 2 ч. Часть 1;8;352,00
1.2.1.2.5.4;VEN000000000426931;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 8 класс.. В 2 ч. Часть 2;8;325,00
1.2.1.2.5.5;VEN000000000426932;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 9 класс.. В 2 ч. Часть 1;9;352,00
1.2.1.2.5.5;VEN000000000426933;Москвин Г.В., Пуряева Н.Н., Ерохина Е.Л.; Литература. 9 класс.. В 2 ч. Часть 2;9;352,00
1.2.1.3.6.1;VEN000000000426388;"Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд.  Под ред. проф. Вербицкой М.В. "; Английский язык. 5 класс. (В 2 ч.)     1 часть с CDдиском;5;388,00
1.2.1.3.6.1;VEN000000000426386;"Вербицкая М.В., Б. Эббс, Э. Уорелл, Э. Уорд.  Под ред. проф. Вербицкой М.В. "; Английский язык. 5 класс. (В 2 ч.)     2 часть;5;363,00
1.2.1.3.6.2;VEN000000000426390;"Вербицкая М.В., Гаярделли М., Редли П., Савчук Л.О.  / Под ред. Вербицкой М.В. "; Английский язык. 6 класс. (В 2 ч.)    1 часть с CD диском;6;399,00
1.2.1.3.6.2;VEN000000000426391;"Вербицкая М.В., Гаярделли М., Редли П., Савчук Л.О.  / Под ред. Вербицкой М.В. "; Английский язык. 6 класс. (В 2 ч.)     2 часть;6;375,00
1.2.1.3.6.3;VEN000000000426409;Вербицкая М.В., Гаярделли М., Редли П., Миндрул О.С., Савчук Л.О. / Под ред. Вербицкой М.В. ; Английский язык. 7 класс. ( в 2 частях)  1 часть с CD диском;7;399,00
1.2.1.3.6.3;VEN000000000426411;Вербицкая М.В., Гаярделли М., Редли П., Миндрул О.С., Савчук Л.О. / Под ред. Вербицкой М.В. ; Английский язык. 7 класс. ( в 2 частях)  2 часть;7;375,00
1.2.1.3.6.4;VEN000000000426380;"Вербицкая М.В., Маккинли С., Хастингс Б., Миндрул О. С.   / Под ред. Вербицкой М.В. "; Английский язык. 8 класс. с CD диском;8;399,00
1.2.1.3.6.5;DRF000000000428038;Вербицкая М.В., Маккинли С., Хастингс Б., Миндрул О. С., Твердохлебова И. П. / Под ред. Вербицкой М.В. ; Английский язык. 9 класс. с CD диском;9;399,00
1.2.1.4.2.1;VEN000000000426414;Дорофеева Н.С., Красова Г.А. ;Итальянский язык. Второй иностранный языкк. 5 класс. ( с CD диском);5;482,00
1.2.1.4.3.2;VEN000000000426432;Дорофеева Н.С., Красова Г.А. ;Итальянский язык. Второй иностранный язык. 6 класс.  ( с CD диском);6;482,00
1.2.1.4.3.3;VEN000000000426415;Дорофеева Н.С., Красова Г.А. ; Итальянский язык. Второй иностранный язык. 7 класс.  ( с CD диском);7;482,00
1.2.1.4.3.4;VEN000000000426417;Дорофеева Н.С., Красова Г.А. ; Итальянский язык. Второй иностранный язык. 8 класс. ;8;482,00
1.2.1.4.3.5;VEN000000000426470;Дорофеева Н.С., Красова Г.А. ; Итальянский язык. Второй иностранный язык. 9 класс. ;9;482,00
1.2.2.2.3.1;VEN000000000426699; Майков А.Н.; История. 5 класс. ;5;303,00
1.2.2.2.3.2;VEN000000000426661;"Андреевская Т.П., Белкин М.В., Ванина Э.В. /  Под ред. Мясникова В.С. "; История Древнего мира. 5 класс. ;5;332,00
1.2.2.2.3.3;VEN000000000426702;"Искровская Л.В., Фёдоров С.Е., Гурьянова Ю.В. /  Под ред. Мясникова В.С. "; История Средних веков. 6 класс. ;6;361,00
1.2.2.2.3.4;VEN000000000426703;Носков В.В., Андреевская Т.П. ; Всеобщая история. 7 класс. ;7;361,00
1.2.2.2.3.5;VEN000000000426707;Носков В.В., Андреевская Т.П. ; Всеобщая история. 8 класс. ;8;361,00
1.2.2.2.3.6;VEN000000000426708; Хейфец В.Л., Хейфец Л.С., Северинов К.М. / Под ред. Мясникова В.С. ; Всеобщая история. 9 класс. ;9;361,00
1.2.2.3.4.1;VEN000000000427645;Соболева О.Б., Иванов О.В. / Под ред. Бордовского Г.А. ; Обществознание. 5 класс. ;5;343,00
1.2.2.3.4.2;VEN000000000427647;Барабанов В.В., Насонова И.П. / Под ред. Бордовского Г.А. ; Обществознание. 6 класс. ;6;343,00
1.2.2.3.4.3;VEN000000000427653; Соболева О.Б., Корсун Р.П. / Под ред. Бордовского Г.А. ;Обществознание. 7 класс. ;7;343,00
1.2.2.3.4.4;VEN000000000427658;Соболева О.Б., Чайка В.Н. / Под ред. Бордовского Г.А. ;Обществознание.  8 класс. ;8;370,00
1.2.2.3.4.5;VEN000000000427659;Насонова И.П. / Под ред. Бордовского Г.А. ;Обществознание.  9 класс. ;9;370,00
1.2.2.4.6.1;VEN000000000426772; Летягин А.А. / Под ред. Дронова В.П. ; География.  5 класс. ;5;354,00
1.2.2.4.6.2;DRF000000000427967;Летягин А.А. / Под ред. Дронова В.П. ; География. 6 класс. ;6;354,00
1.2.2.4.6.3;DRF000000000427968;Душина И.В., Смоктунович Т.Л. / Под ред. Дронова В.П. ; География.  7 класс. ;7;354,00
1.2.2.4.6.4;VEN000000000426760;Пятунин В.Б., Таможняя Е.А. / Под ред. Дронова В.П. ; География. 8 класс. ;8;363,00
1.2.2.4.6.5;VEN000000000426796;Таможняя Е.А., Толкунова С.Г. / Под ред. Дронова В.П. ; География .9 класс. ;9;419,00
1.2.3.1.10.1;DRF000000000428199;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Математика. 5 класс. ;5;339,00
1.2.3.1.10.2;VEN000000000427082;Мерзляк А.Г., Полонский В.Б., Якир М.С.; Математика. 6 класс. ;6;339,00
